,Accuracy,F1 (macro),Precision (macro),Recall (macro)
Random Forest,0.7083333333333333,0.7061953904368765,0.7302693602693603,0.7083333333333333
Gradient Boosting,0.6666666666666667,0.6627299016772701,0.6794757094757096,0.6666666666666667
SVM (RBF),0.6416666666666666,0.6462110782234621,0.6900514300514301,0.6416666666666666
Logistic Regression,0.6166666666666667,0.6154770954306559,0.6438263588263589,0.6166666666666667
k-NN (k=5),0.5583333333333333,0.5566389160661606,0.5877080327080326,0.5583333333333333
